,timestamps,x,y,z
93,1528302784000000000,-0.6038979999999999,-0.577669,-0.549187
94,1528302784000000000,-0.598665,-0.635592,-0.487466
95,1528302784000000000,-0.585445,-0.693761,-0.41946300000000003
96,1528302784000000000,-0.567366,-0.7360760000000001,-0.36917300000000003
97,1528302784000000000,-0.546546,-0.767505,-0.334996
98,1528302784000000000,-0.525416,-0.791724,-0.311628
99,1528302784000000000,-0.508213,-0.809912,-0.29285100000000003
100,1528302785000000000,-0.49794700000000003,-0.82481,-0.267837
101,1528302785000000000,-0.49482299999999996,-0.8376040000000001,-0.231452
102,1528302785000000000,-0.49503800000000003,-0.847622,-0.19098099999999998
103,1528302785000000000,-0.494432,-0.8541340000000001,-0.16122
104,1528302785000000000,-0.49269399999999997,-0.8568680000000001,-0.151756
105,1528302785000000000,-0.491649,-0.855136,-0.16438699999999998
106,1528302785000000000,-0.494262,-0.8461120000000001,-0.199497
107,1528302785000000000,-0.501151,-0.8275530000000001,-0.25299
108,1528302785000000000,-0.510548,-0.7974289999999999,-0.32163200000000003
109,1528302785000000000,-0.519418,-0.7548020000000001,-0.400597
110,1528302785000000000,-0.547248,-0.6949270000000001,-0.46647299999999997
111,1528302785000000000,-0.611879,-0.61156,-0.501595
112,1528302785000000000,-0.676784,-0.529872,-0.511076
113,1528302785000000000,-0.699259,-0.477584,-0.53193
114,1528302785000000000,-0.693847,-0.448879,-0.563102
115,1528302785000000000,-0.682683,-0.44004499999999996,-0.583356
116,1528302785000000000,-0.677372,-0.439326,-0.590051
117,1528302785000000000,-0.680757,-0.43751,-0.587499
118,1528302785000000000,-0.6886220000000001,-0.431917,-0.582449
119,1528302785000000000,-0.694475,-0.42364799999999997,-0.581573
120,1528302785000000000,-0.695573,-0.422349,-0.581205
121,1528302785000000000,-0.693128,-0.43314899999999995,-0.576156
122,1528302785000000000,-0.686928,-0.452928,-0.568318
123,1528302785000000000,-0.676175,-0.47576199999999996,-0.562528
124,1528302785000000000,-0.6637529999999999,-0.4953,-0.560455
125,1528302785000000000,-0.6569149999999999,-0.507367,-0.557711
126,1528302785000000000,-0.662558,-0.516877,-0.542084
127,1528302785000000000,-0.67742,-0.5307890000000001,-0.509279
129,1528302785000000000,-0.694937,-0.550329,-0.46281700000000003
130,1528302785000000000,-0.702021,-0.582316,-0.409969
131,1528302785000000000,-0.698102,-0.623475,-0.352041
132,1528302785000000000,-0.6874979999999999,-0.660824,-0.30109600000000003
133,1528302785000000000,-0.666403,-0.700956,-0.254102
134,1528302785000000000,-0.6324930000000001,-0.7422489999999999,-0.221402
135,1528302785000000000,-0.59142,-0.779429,-0.20667
