,timestamps,x,y,z
230,1528302787000000000,-0.86585,-0.9924209999999999,0.133134
231,1528302787000000000,-1.341113,-1.038447,0.068838
232,1528302787000000000,-1.160404,-0.761614,-0.013356999999999999
233,1528302787000000000,-0.45248299999999997,-0.289724,-0.096093
234,1528302787000000000,0.614226,-0.20085,-0.141977
235,1528302787000000000,1.7153630000000002,-0.29180900000000004,-0.016097999999999998
236,1528302787000000000,2.0040240000000002,-0.197975,0.057322000000000005
237,1528302787000000000,1.91491,0.174557,0.10981199999999999
238,1528302787000000000,2.386307,0.609101,0.123348
239,1528302787000000000,3.23294,0.384947,0.226644
240,1528302787000000000,3.928582,-0.041497000000000006,0.46726899999999993
241,1528302787000000000,4.563119,0.344143,0.411263
242,1528302787000000000,4.041219,0.759096,0.696592
243,1528302787000000000,3.405954,-1.038102,0.453613
244,1528302787000000000,3.8703410000000003,-0.8670620000000001,-1.822682
245,1528302787000000000,2.582854,1.569513,-3.453123
246,1528302787000000000,1.261218,4.637563,-4.025846
247,1528302787000000000,0.706553,5.505011,-3.2911580000000002
248,1528302787000000000,1.316108,4.336933999999999,-1.6950470000000002
249,1528302787000000000,2.904235,2.461468,-0.125814
250,1528302787000000000,3.925907,0.881518,0.950727
251,1528302787000000000,2.77537,-0.031244,1.2056040000000001
252,1528302787000000000,1.411474,0.392737,0.971397
253,1528302788000000000,0.875307,1.651715,0.9005139999999999
254,1528302788000000000,0.351892,2.322132,1.160499
255,1528302788000000000,-0.175569,1.6492259999999999,1.567389
256,1528302788000000000,-1.5169549999999998,0.17536,1.666553
257,1528302788000000000,-3.403314,-0.49413599999999996,1.405907
258,1528302788000000000,-5.9135349999999995,0.877606,0.7512770000000001
259,1528302788000000000,-7.981986999999999,2.553953,-0.110573
260,1528302788000000000,-7.76266,0.8592930000000001,-0.672617
261,1528302788000000000,-6.256638,-1.602311,-1.66065
262,1528302788000000000,-5.684332,-1.58846,-2.746328
263,1528302788000000000,-5.175708,-0.510047,-3.3259800000000004
264,1528302788000000000,-3.6678669999999998,0.25184,-3.174459
265,1528302788000000000,-1.440941,1.197333,-2.389319
266,1528302788000000000,-0.4682,1.9975669999999999,-1.063042
267,1528302788000000000,-0.772425,2.266962,-0.119276
268,1528302788000000000,-1.2172209999999999,1.8623319999999999,0.243954
269,1528302788000000000,-1.063018,1.448232,-0.159077
270,1528302788000000000,-0.32307600000000003,1.289876,-0.6434979999999999
271,1528302788000000000,0.277636,0.300238,-0.5833079999999999
272,1528302788000000000,0.5485300000000001,-0.412601,0.288044
273,1528302788000000000,1.092154,-0.451427,1.434841
274,1528302788000000000,1.8123189999999998,0.335514,1.1940469999999999
275,1528302788000000000,1.876685,1.313532,0.166755
276,1528302788000000000,1.568102,2.2490639999999997,0.24146199999999998
277,1528302788000000000,1.885719,1.631029,1.291051
278,1528302788000000000,2.669193,2.1788380000000003,2.4033849999999997
279,1528302788000000000,3.280726,2.9244630000000003,3.165007
281,1528302788000000000,2.390039,2.1288139999999998,2.985991
282,1528302788000000000,0.8633040000000001,0.593773,1.471136
283,1528302788000000000,-0.280549,-0.472762,-0.262359
284,1528302788000000000,0.487252,0.497184,-0.9203969999999999
285,1528302788000000000,1.75178,1.433699,-0.059952
286,1528302788000000000,1.730677,1.318071,1.56314
287,1528302788000000000,1.2185350000000001,0.415084,1.318088
288,1528302788000000000,0.20836,-0.916258,0.305881
289,1528302788000000000,-0.481646,-1.278664,-0.253606
290,1528302788000000000,-0.454509,-0.34404,-0.21607600000000002
291,1528302788000000000,0.329385,1.18191,0.480617
292,1528302788000000000,0.699087,1.2524309999999998,0.812779
293,1528302788000000000,0.993267,0.632123,1.326362
294,1528302788000000000,0.953527,-1.014728,0.912732
295,1528302788000000000,0.308186,-2.5352959999999998,0.16250699999999998
296,1528302788000000000,-0.081256,-2.2940669999999996,-0.667288
297,1528302788000000000,-0.20235699999999998,-1.914322,-1.498951
298,1528302788000000000,-0.876534,-0.968369,-1.580152
299,1528302788000000000,-1.8550779999999998,-0.27681500000000003,-1.023574
300,1528302788000000000,-1.8251970000000002,-0.30109600000000003,-0.274235
301,1528302788000000000,-0.688779,-1.06679,0.33526
302,1528302788000000000,0.06021900000000001,-1.525118,0.6574260000000001
303,1528302788000000000,0.10118300000000001,-1.184426,0.831558
304,1528302789000000000,-0.791435,-0.26200100000000004,0.742557
305,1528302789000000000,-2.182156,0.261971,0.29406
306,1528302789000000000,-2.796321,0.413768,-0.161393
307,1528302789000000000,-2.1865959999999998,0.36399699999999996,-0.347045
308,1528302789000000000,-0.8931600000000001,0.0060079999999999995,0.007379000000000001
309,1528302789000000000,0.48764300000000005,-0.331619,0.730937
310,1528302789000000000,1.321043,-0.298066,1.274934
311,1528302789000000000,1.6912779999999998,0.075804,1.509584
312,1528302789000000000,1.579854,0.407848,1.4570319999999999
313,1528302789000000000,1.345623,0.267177,1.279387
314,1528302789000000000,1.812064,-0.12106600000000001,1.485735
315,1528302789000000000,3.3422,-0.528972,1.8160060000000002
316,1528302789000000000,4.757618,-0.550546,2.0990740000000003
317,1528302789000000000,4.339928,-0.0016170000000000002,1.599658
318,1528302789000000000,3.07203,1.593127,0.578063
319,1528302789000000000,1.9788169999999998,3.248825,0.32554299999999997
