time_tick,mag_X_value,mag_Y_value,mag_Z_value
4.194170,-48.719406,40.684845,8.310822
4.217731,-48.643936,41.359085,9.212677
4.242571,-48.191711,42.481827,10.112183
4.267775,-48.416092,42.782608,10.340881
4.292646,-48.116470,43.156036,11.089050
4.318786,-49.091019,43.085083,10.799500
4.343194,-48.713287,43.533752,10.422150
4.367626,-49.161896,43.835602,10.353271
4.392305,-49.086899,43.835297,10.352448
4.417722,-49.310669,44.286072,10.581726
4.442220,-49.160934,44.360367,10.805359
4.468107,-49.086746,44.434845,11.254822
4.494863,-48.636703,44.582932,11.475494
4.517450,-47.733490,45.853958,12.220642
4.542784,-47.432663,46.152664,12.368500
4.568371,-46.606064,46.974030,13.037720
4.592213,-46.075745,48.022141,12.586090
4.617096,-43.746445,49.737305,13.617279
4.643204,-42.994980,50.334106,13.986420
4.667075,-42.242722,50.706253,13.679657
4.692867,-42.092331,50.855606,13.753601
4.719409,-41.641953,51.228592,14.200134
4.741832,-40.889984,51.525726,13.893066
4.766802,-41.039490,51.601364,13.820007
4.792827,-41.410431,52.203186,13.151489
4.816927,-41.932693,52.280762,12.182526
4.842309,-43.128845,52.361237,10.771027
4.868669,-44.849991,52.069138,8.763763
4.891709,-49.045334,50.588043,4.528992
4.916746,-50.768311,49.696045,2.294373
4.942362,-52.715225,48.505417,-0.838959
4.967581,-54.216614,46.712570,-3.154633
4.991976,-56.471619,43.498154,-6.292664
5.021792,-57.004379,41.700180,-6.069000
5.041436,-57.316727,39.975342,-3.897461
5.067046,-57.261826,36.673737,-1.136261
5.091681,-56.817612,35.921402,-0.019165
5.116730,-56.524551,35.169434,1.549591
5.141903,-55.704865,34.865341,3.189362
5.166489,-53.685059,34.631424,4.891205
5.191988,-53.689972,33.731171,5.412659
5.217063,-53.393219,33.054886,5.631683
5.242499,-53.173218,31.704071,5.473877
5.266872,-53.490799,26.456024,4.106384
5.291972,-54.176025,22.484909,1.848022
5.316324,-54.489334,17.837219,-0.267120
5.341803,-54.674377,7.039581,-3.533264
5.366825,-53.794891,1.186646,-4.691345
5.395095,-52.764587,-4.366974,-5.699921
5.417374,-51.658966,-9.845886,-6.708984
5.441420,-48.479630,-19.759811,-4.308594
5.466751,-46.472443,-23.818161,-3.671936
5.491614,-44.313293,-27.427078,-3.110107
5.517046,-42.076660,-30.885925,-3.298523
5.541693,-37.070633,-36.005646,-3.899078
5.566536,-35.503464,-38.261688,-4.375336
5.591529,-33.560989,-39.694809,-3.652466
5.616248,-32.367569,-40.974884,-3.070709
5.641424,-31.024155,-42.630249,-3.092102
5.666367,-29.675995,-43.385406,-3.559937
5.693035,-28.928925,-43.838608,-3.119965
5.716255,-27.734360,-45.118454,-2.988251
5.741419,-27.361603,-45.495087,-2.693878
5.767378,-26.615158,-45.873489,-1.878571
5.791297,-25.717499,-46.327179,-1.665253
5.816084,-24.750320,-47.681534,-0.706299
5.841468,-23.554276,-48.211685,0.028412
5.866185,-22.807480,-48.739883,0.468079
5.891543,-22.134995,-49.417542,0.382996
5.915672,-19.585724,-50.327164,-0.773712
5.940990,-18.834671,-50.629700,-1.683197
5.966072,-17.935562,-51.233002,-2.295471
5.992788,-15.911743,-52.065659,-3.146088
6.015934,-15.234222,-52.142807,-4.278839
6.041030,-14.406296,-52.070587,-5.337646
6.066136,-14.177902,-52.070831,-6.690186
6.091339,-13.646408,-51.996719,-9.170715
6.115925,-13.716797,-51.545868,-10.293152
6.144347,-14.238235,-51.018494,-10.885284
6.165374,-14.979767,-50.114563,-12.823517
6.190932,-17.435562,-47.777756,-16.762146
6.215210,-19.373810,-46.044052,-18.683929
6.241308,-21.541763,-44.685059,-19.329620
6.265573,-26.031464,-42.117081,-19.345001
6.290874,-29.699814,-39.628082,-18.019684
6.315515,-34.566162,-36.159653,-15.927246
6.341329,-39.270370,-30.441254,-15.102631
6.366132,-46.403824,-14.137451,-15.633972
6.390752,-46.809189,-4.684464,-18.366669
6.415356,-45.340134,4.461151,-21.346283
6.444089,-42.754471,11.652191,-24.120941
6.465940,-39.794846,19.366104,-25.622620
6.490394,-39.035522,22.212662,-24.794617
6.515696,-37.521835,25.731522,-24.647156
6.541538,-36.314301,27.751587,-24.427399
6.565015,-33.746933,31.192032,-25.866852
6.590667,-31.114563,32.456970,-26.790741
6.614925,-29.385223,32.825623,-27.933289
6.640052,-27.427109,33.718704,-29.751312
6.665961,-26.373779,34.164795,-30.361053
6.690604,-24.417603,35.282318,-31.053131
6.714875,-23.439850,35.728592,-31.437103
6.740187,-21.182068,37.519684,-31.679779
6.764952,-21.106705,37.894165,-31.229095
6.789783,-20.806107,38.417664,-30.630280
6.815491,-20.880432,38.867737,-30.177704
6.839786,-21.480804,39.769348,-28.592499
6.864649,-20.953827,40.591965,-28.069977
6.889869,-20.651306,41.265717,-27.995605
6.914544,-19.373398,41.560959,-28.683533
6.939648,-19.225266,40.810577,-29.138123
6.965485,-19.826767,40.063293,-29.734497
6.989439,-20.729568,38.942245,-30.404022
7.014273,-24.341934,34.982391,-31.805145
7.039710,-26.375839,32.665604,-31.942047
7.064712,-28.861557,29.900604,-32.075745
7.089683,-31.425491,26.760590,-31.535126
7.115012,-39.265884,20.114182,-26.000458
7.139077,-43.344452,16.227890,-20.796143
7.164196,-45.767410,12.186234,-18.085663
7.194633,-44.365387,3.408051,-22.936218
7.215026,-42.877426,-1.921051,-26.648865
7.238926,-41.025070,-8.452759,-28.045380
7.265410,-40.007446,-15.732483,-26.735687
7.288862,-35.563187,-27.901672,-23.908295
7.314297,-32.810593,-32.638382,-22.532471
7.338947,-30.501236,-35.873154,-21.445801
7.365857,-28.937790,-37.980042,-20.196442
7.388596,-27.160812,-41.364044,-16.404510
7.414726,-27.845291,-42.187546,-13.925293
7.439081,-27.108978,-43.692017,-10.864441
7.463502,-26.219604,-45.046616,-8.779633
7.488462,-23.763046,-47.383270,-5.140991
7.512491,-23.020599,-48.062195,-3.201874
7.537215,-22.278214,-48.516327,-0.886871
7.562422,-20.267761,-49.876190,2.760590
7.587078,-19.373077,-50.555298,3.798035
7.612302,-18.701462,-50.708542,4.915039
7.637576,-17.579529,-51.013397,5.651459
7.662803,-15.565460,-51.698090,8.926575
7.693968,-14.295975,-52.004013,10.636383
7.712690,-13.399704,-52.008347,12.126495
7.738064,-12.726913,-52.236298,12.643219
7.763244,-12.201294,-52.088394,12.638031
7.788236,-12.201752,-52.013550,12.938324
7.813344,-11.528702,-51.941681,13.831177
7.839143,-11.902237,-52.089783,13.009735
7.864440,-12.201187,-52.013443,12.713287
7.887986,-11.901596,-52.164597,12.634399
7.913071,-11.901413,-52.164566,12.559387
7.938413,-11.825317,-52.314529,11.882996
7.963191,-11.448669,-52.465576,10.978210
7.988029,-11.522644,-52.540024,10.453735
8.013907,-11.296295,-52.765472,9.550354
8.038120,-12.116806,-52.761292,7.759399
8.063311,-12.488953,-52.609360,6.864075
8.088148,-13.312531,-52.530853,6.423462
8.113111,-15.552277,-52.295029,2.699066
8.138202,-16.818665,-51.913544,-0.135498
8.163917,-17.856674,-51.157593,-3.721039
8.187791,-19.042633,-50.025955,-7.528473
8.212753,-21.269501,-47.689285,-13.044647
8.238166,-23.140747,-47.156479,-13.696930
8.262945,-23.294464,-47.006714,-11.969604
8.287461,-24.872894,-47.150986,-10.827820
8.319145,-26.901443,-46.619003,-8.553406
8.336805,-27.875793,-46.165329,-8.090881
8.362462,-29.222076,-45.409805,-8.373016
8.387726,-30.042358,-44.506317,-8.810425
8.412798,-31.986725,-43.223434,-9.008911
8.437281,-32.884949,-42.769852,-8.997192
8.464094,-33.261749,-42.843643,-8.393341
8.487117,-32.889145,-43.445129,-8.399841
8.512621,-32.513031,-43.446411,-8.853973
8.537197,-32.211990,-43.522339,-9.382599
8.562324,-31.911041,-43.898056,-10.362396
8.587513,-30.488449,-45.028336,-11.207581
8.613067,-29.289474,-45.482971,-11.522583
8.636988,-29.214035,-45.932816,-12.425232
8.662118,-28.312836,-46.161011,-13.261047
8.687152,-26.962799,-46.391205,-13.651825
8.712539,-26.584457,-46.167236,-14.630096
8.737350,-26.654434,-45.566422,-15.676910
8.762375,-26.118973,-44.592255,-18.303894
8.786150,-24.989868,-44.371124,-19.590454
8.812114,-24.011688,-44.524292,-21.101837
8.836741,-22.507706,-44.379623,-22.467773
8.861897,-18.905670,-45.068069,-24.385162
8.886887,-16.506516,-45.677353,-25.013977
8.912728,-14.408035,-46.210617,-25.264191
8.936605,-12.607239,-46.442474,-25.959930
8.962663,-9.304260,-46.380142,-27.046021
8.986928,-7.128143,-46.163803,-27.144073
9.012032,-5.028244,-46.247147,-27.242523
9.037074,-2.330536,-46.558151,-26.823456
9.063074,2.692123,-46.803513,-26.279694
9.086386,4.870865,-46.211960,-26.826294
9.112057,7.353271,-45.171234,-28.124420
9.136365,12.845398,-42.042282,-29.972290
9.161450,16.073883,-41.005325,-29.703674
9.186414,19.600067,-40.119904,-28.763916
9.213629,22.823349,-39.683487,-27.372650
9.235069,27.988861,-39.181458,-22.777466
9.260423,30.232956,-39.266541,-20.552490
9.285600,32.182541,-38.300186,-18.845062
9.311570,34.136322,-36.808441,-17.960602
9.336048,38.873962,-32.403397,-15.970062
9.362074,41.281738,-29.863510,-15.011414
9.386104,43.089523,-27.546036,-14.422028
9.411460,46.108322,-22.008774,-13.083069
9.443271,47.163528,-20.288330,-12.412811
9.460400,47.616150,-19.165512,-11.663300
9.485797,48.291489,-18.568634,-10.843323
9.510595,48.738144,-18.421204,-9.272644
9.535604,49.036804,-18.572540,-8.976532
9.560775,49.107941,-19.023239,-8.154114
9.585645,48.879501,-20.072174,-8.455811
9.611815,45.859131,-25.909500,-9.645935
9.635897,42.318832,-30.844452,-11.426727
9.661245,36.899200,-37.046738,-13.491943
9.685724,19.163544,-48.298920,-17.241821
9.710613,9.328827,-50.809525,-17.368713
9.735437,0.696793,-51.900528,-16.303131
9.760605,-7.554260,-51.493057,-15.235718
9.785582,-20.289047,-47.692108,-15.230438
9.811618,-24.697525,-44.223953,-16.293060
9.835304,-28.352829,-40.533340,-18.263092
9.860338,-31.031616,-36.696442,-20.618317
9.885251,-34.080872,-31.733078,-22.964905
9.910437,-35.423752,-30.452301,-23.769958
9.935015,-35.870834,-29.250900,-23.010254
9.961318,-36.689117,-27.747482,-23.295258
9.985141,-38.401337,-24.440720,-23.113220
10.010107,-39.216949,-22.786911,-24.222626
10.034957,-39.887589,-21.734192,-24.286011
10.060177,-40.031448,-20.008774,-23.977539
10.085101,-40.555969,-19.931641,-24.046448
10.111862,-40.705154,-19.631119,-23.893616
10.134875,-40.780685,-19.481033,-23.442200
10.159885,-41.005157,-19.629913,-23.890320
10.185012,-40.855408,-19.555634,-23.666626
10.210290,-40.932434,-19.780548,-23.216705
10.234714,-41.082565,-19.854904,-23.290344
10.260473,-40.572861,-22.707733,-21.732391
10.284840,-39.834961,-25.186111,-20.850403
10.309922,-38.650635,-28.416412,-19.751373
10.334524,-33.291824,-37.363922,-17.596100
10.359719,-28.959656,-41.581436,-17.210632
10.384535,-23.645630,-44.977173,-18.257660
10.411710,-18.628448,-47.396881,-18.997498
10.434471,-6.551819,-49.468201,-22.963654
10.459306,-0.321198,-49.042343,-24.530487
10.487862,6.510071,-47.944290,-25.276215
10.508958,13.189575,-46.621155,-24.969421
10.533504,24.904037,-42.468445,-24.106659
10.560684,28.964432,-39.559937,-23.614685
10.584253,32.278397,-36.273026,-23.938019
10.609631,34.992142,-32.983765,-24.179688
10.634151,39.510605,-27.827271,-23.308746
