time_tick,gyr_X_value,gyr_Y_value,gyr_Z_value
6.983888,6.916105,-0.954276,2.970330
7.013826,9.967775,-2.694739,5.825594
7.053774,11.613355,-6.683703,9.206559
7.083742,14.629786,-6.172073,11.363429
7.113710,16.679097,-5.903884,11.676726
7.153658,8.851123,-4.652786,5.383434
7.183595,2.984345,0.600147,1.378462
7.213564,0.293412,1.981870,-1.227059
7.253492,1.614675,1.109864,-2.695923
7.283430,1.060648,0.494803,-3.478674
7.313398,0.619725,0.319718,-4.061107
7.353346,-0.454905,-0.304024,-5.141317
7.383314,-3.023209,-0.406105,-3.928921
7.413252,-5.978308,-0.444626,-0.169236
7.453199,-5.871880,-0.340362,3.791069
7.483167,-2.855219,0.192584,6.822576
7.513105,1.244707,0.431604,9.003161
7.553053,3.842029,-0.882811,7.480104
7.583021,3.029789,-0.768416,2.800081
7.612989,0.174660,0.136116,0.076075
7.652906,-1.099727,0.138348,-0.805638
7.682875,-0.641220,-0.132102,-1.377762
7.712843,-0.327492,-0.465181,-1.865892
7.752790,-0.245627,-0.623063,-1.946016
7.782728,-0.112508,-0.550821,-1.848523
7.812696,0.032239,-0.669378,-1.693082
7.852644,-0.103909,-0.514599,-1.585376
7.882582,-0.112285,-0.354715,-1.349177
7.912550,-0.101432,-0.149034,-0.929471
7.952497,0.176488,-0.186824,-0.479120
7.982466,0.161686,-0.073823,-0.301156
8.012403,-0.399131,0.149911,-0.123823
8.052351,-2.117445,1.465983,0.434727
8.082319,-3.918503,3.129651,1.434768
8.112257,-4.333012,4.090662,2.037578
8.152204,-7.191403,5.518508,2.241709
8.182173,-8.551889,5.641325,1.605839
8.212141,-8.797519,4.358535,0.963409
8.252072,-6.114489,1.587024,0.301788
8.282040,-4.142735,0.305679,0.058527
8.312008,-3.835176,0.374417,-0.364036
8.351956,-4.937980,0.400861,-0.484621
8.381894,-3.960924,0.216899,-0.611986
8.421841,1.111212,-1.720013,-1.171106
8.451809,4.375880,-3.794444,-1.475905
8.481747,7.362474,-4.869736,-0.521921
8.511715,9.418199,-4.417174,-0.466113
8.551663,8.474576,-3.410474,-0.247989
8.581631,7.203020,-2.599306,0.054469
8.621548,4.571253,-1.215555,-0.082959
8.651516,2.739228,-1.143070,-0.543746
8.681485,1.934384,-1.174700,-0.909209
8.721432,2.219502,-1.546097,-0.799585
8.751370,2.350187,-2.239094,-0.392824
8.781338,1.129588,-2.039784,0.581476
8.821286,-0.965379,-1.113133,2.589040
8.851223,-1.238324,-0.816362,4.476413
8.881192,-0.186486,-1.159259,5.742337
8.921139,1.158837,-1.591132,5.956713
8.951108,1.224870,-0.214237,3.350448
8.981045,-0.276038,1.635417,-0.379110
9.020993,0.066794,1.809606,-4.674480
9.050961,-0.753374,1.940003,-7.044658
9.080899,-2.723826,2.436918,-8.534459
9.120846,-3.181761,2.227757,-8.972420
9.150815,-2.759515,0.560110,-7.028429
9.180783,-1.799587,-0.240917,-2.067979
9.220700,-0.184052,-0.058294,4.761086
9.250635,0.690261,-1.011582,8.202931
9.280603,2.674847,-1.725943,11.304857
9.320551,5.638439,-1.325066,6.732985
9.350489,1.013184,1.244144,1.010226
9.380457,-1.311339,3.205019,-1.820979
9.420404,-0.956030,2.790865,-6.123986
9.450342,-1.717013,1.772228,-7.892757
9.480310,-1.931726,2.471768,-8.057550
9.520258,-1.501420,2.268513,-6.610865
9.550226,-1.285463,0.714203,-4.025116
9.580164,-1.728053,0.120263,-1.932179
9.620111,-0.104391,-0.257740,0.221585
9.650080,0.059660,-0.663030,1.523364
9.680017,0.289697,-0.572840,1.789631
9.719965,-1.286335,0.753641,0.905590
9.749933,-2.247094,1.650594,0.925555
9.779901,-2.985936,1.217042,1.381997
9.819818,-0.962707,-1.404101,1.090036
9.849787,0.953795,-2.899574,1.675441
9.879755,0.704370,-3.411787,1.342598
9.919702,0.694697,-2.731791,-0.385673
9.949640,-2.465546,-3.761147,-1.945412
9.979608,-4.106354,-3.370324,-4.582225
